EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-3466,Snow,Light,2017-12-31 08:15:00,2017-12-31 10:15:00,34.6986,-99.3381,Altus,OK
W-6956,Snow,Light,2017-12-31 07:18:00,2017-12-31 08:38:00,43.6822,-93.3722,Albert Lea,MN
W-6957,Fog,Moderate,2017-12-31 08:38:00,2017-12-31 09:18:00,43.6822,-93.3722,Albert Lea,MN
W-6958,Cold,Severe,2017-12-31 11:18:00,2018-01-01 17:57:00,43.6822,-93.3722,Albert Lea,MN
W-10285,Rain,Light,2017-12-31 02:53:00,2017-12-31 03:53:00,30.5378,-91.1468,Baton Rouge,LA
W-10286,Rain,Light,2017-12-31 07:18:00,2017-12-31 07:30:00,30.5378,-91.1468,Baton Rouge,LA
W-10287,Rain,Light,2017-12-31 07:53:00,2017-12-31 08:53:00,30.5378,-91.1468,Baton Rouge,LA
W-13709,Cold,Severe,2017-12-31 02:35:00,2017-12-31 03:15:00,43.9581,-90.7397,Sparta,WI
W-13710,Snow,Light,2017-12-31 10:15:00,2017-12-31 10:35:00,43.9581,-90.7397,Sparta,WI
W-21008,Snow,Light,2017-12-31 13:36:00,2017-12-31 15:53:00,42.8808,-85.5228,Grand Rapids,MI
W-30126,Snow,Light,2017-12-31 01:37:00,2017-12-31 02:37:00,42.4269,-73.289,Pittsfield,MA
W-30127,Fog,Moderate,2017-12-31 09:54:00,2017-12-31 10:54:00,42.4269,-73.289,Pittsfield,MA
W-58780,Fog,Moderate,2017-12-31 06:35:00,2017-12-31 06:55:00,42.5764,-84.8124,Charlotte,MI
W-58781,Cold,Severe,2017-12-31 06:55:00,2017-12-31 07:15:00,42.5764,-84.8124,Charlotte,MI
W-58782,Snow,Light,2017-12-31 07:35:00,2017-12-31 07:55:00,42.5764,-84.8124,Charlotte,MI
W-58783,Snow,Light,2017-12-31 08:35:00,2017-12-31 08:55:00,42.5764,-84.8124,Charlotte,MI
W-63329,Snow,Light,2017-12-31 08:52:00,2017-12-31 10:52:00,42.955,-87.9044,Milwaukee,WI
W-63330,Snow,Light,2017-12-31 11:52:00,2017-12-31 12:52:00,42.955,-87.9044,Milwaukee,WI
W-70063,Fog,Severe,2017-12-31 01:48:00,2017-12-31 01:53:00,45.7691,-122.8637,Scappoose,OR
W-70064,Fog,Severe,2017-12-31 03:01:00,2017-12-31 03:34:00,45.7691,-122.8637,Scappoose,OR
W-70065,Fog,Severe,2017-12-31 03:53:00,2017-12-31 04:19:00,45.7691,-122.8637,Scappoose,OR
W-70066,Fog,Severe,2017-12-31 06:37:00,2017-12-31 07:04:00,45.7691,-122.8637,Scappoose,OR
W-70067,Fog,Severe,2017-12-31 07:14:00,2017-12-31 08:58:00,45.7691,-122.8637,Scappoose,OR
W-70068,Fog,Severe,2017-12-31 09:09:00,2017-12-31 09:33:00,45.7691,-122.8637,Scappoose,OR
W-70069,Fog,Severe,2017-12-31 10:20:00,2017-12-31 10:35:00,45.7691,-122.8637,Scappoose,OR
W-70070,Fog,Severe,2017-12-31 10:53:00,2017-12-31 11:05:00,45.7691,-122.8637,Scappoose,OR
W-76298,Cold,Severe,2017-12-31 22:53:00,2018-01-01 16:53:00,44.5483,-95.0804,Redwood Falls,MN
W-82650,Cold,Severe,2017-12-31 00:55:00,2017-12-31 01:35:00,46.0244,-92.8991,Hinckley,MN
W-82651,Cold,Severe,2017-12-31 02:35:00,2017-12-31 17:55:00,46.0244,-92.8991,Hinckley,MN
W-100115,Snow,Light,2017-12-31 03:51:00,2017-12-31 04:10:00,40.9181,-81.4434,Green,OH
W-100116,Snow,Light,2017-12-31 04:51:00,2017-12-31 05:51:00,40.9181,-81.4434,Green,OH
W-100117,Snow,Light,2017-12-31 15:51:00,2017-12-31 16:51:00,40.9181,-81.4434,Green,OH
W-109966,Snow,Light,2017-12-31 01:54:00,2017-12-31 06:54:00,41.534,-93.6531,Bloomfield,IA
W-109967,Snow,Moderate,2017-12-31 06:54:00,2017-12-31 07:04:00,41.534,-93.6531,Bloomfield,IA
W-109968,Snow,Light,2017-12-31 07:04:00,2017-12-31 10:54:00,41.534,-93.6531,Bloomfield,IA
W-122573,Rain,Light,2017-12-31 21:56:00,2017-12-31 22:56:00,34.2487,-82.1591,Greenwood,SC
W-125782,Cold,Severe,2017-12-31 10:53:00,2017-12-31 18:53:00,45.0625,-93.3508,Minneapolis,MN
W-128808,Rain,Light,2017-12-31 18:47:00,2017-12-31 20:36:00,31.1387,-97.7145,Fort Hood,TX
W-128809,Fog,Severe,2017-12-31 20:36:00,2017-12-31 21:30:00,31.1387,-97.7145,Fort Hood,TX
W-128810,Rain,Light,2017-12-31 21:30:00,2017-12-31 22:08:00,31.1387,-97.7145,Fort Hood,TX
W-128811,Fog,Severe,2017-12-31 22:08:00,2017-12-31 23:23:00,31.1387,-97.7145,Fort Hood,TX
W-128812,Snow,Light,2017-12-31 23:23:00,2017-12-31 23:48:00,31.1387,-97.7145,Fort Hood,TX
W-128813,Rain,Light,2017-12-31 23:49:00,2017-12-31 23:53:00,31.1387,-97.7145,Fort Hood,TX
W-128814,Snow,Light,2017-12-31 23:53:00,2018-01-01 00:12:00,31.1387,-97.7145,Fort Hood,TX
W-136353,Snow,Light,2017-12-31 02:35:00,2017-12-31 03:55:00,41.1881,-103.6774,Kimball,NE
W-136354,Snow,Light,2017-12-31 07:15:00,2017-12-31 07:55:00,41.1881,-103.6774,Kimball,NE
W-136355,Snow,Light,2017-12-31 09:35:00,2017-12-31 10:15:00,41.1881,-103.6774,Kimball,NE
W-136356,Snow,Light,2017-12-31 14:55:00,2018-01-01 00:55:00,41.1881,-103.6774,Kimball,NE
W-146018,Cold,Severe,2017-12-31 10:53:00,2017-12-31 17:53:00,44.9324,-93.0559,Saint Paul,MN
W-153443,Rain,Light,2017-12-31 04:58:00,2017-12-31 05:58:00,31.0425,-86.3117,Florala,AL
W-153444,Rain,Light,2017-12-31 10:14:00,2017-12-31 10:58:00,31.0425,-86.3117,Florala,AL
W-153445,Rain,Light,2017-12-31 14:30:00,2017-12-31 16:57:00,31.0425,-86.3117,Florala,AL
W-153446,Rain,Moderate,2017-12-31 16:57:00,2017-12-31 17:10:00,31.0425,-86.3117,Florala,AL
W-153447,Rain,Light,2017-12-31 17:10:00,2017-12-31 18:44:00,31.0425,-86.3117,Florala,AL
W-153448,Rain,Light,2017-12-31 18:58:00,2017-12-31 19:37:00,31.0425,-86.3117,Florala,AL
W-153449,Rain,Light,2017-12-31 20:57:00,2017-12-31 23:42:00,31.0425,-86.3117,Florala,AL
W-160055,Fog,Moderate,2017-12-31 02:57:00,2017-12-31 03:57:00,33.2338,-119.4559,,CA
W-160056,Fog,Moderate,2017-12-31 04:57:00,2017-12-31 05:57:00,33.2338,-119.4559,,CA
W-160057,Fog,Moderate,2017-12-31 06:57:00,2017-12-31 07:57:00,33.2338,-119.4559,,CA
W-160058,Fog,Moderate,2017-12-31 08:57:00,2017-12-31 09:57:00,33.2338,-119.4559,,CA
W-173115,Snow,Light,2017-12-31 08:52:00,2017-12-31 10:54:00,40.6675,-89.6839,Peoria,IL
W-173116,Fog,Moderate,2017-12-31 10:54:00,2017-12-31 11:54:00,40.6675,-89.6839,Peoria,IL
W-175422,Cold,Severe,2017-12-31 22:55:00,2018-01-01 17:55:00,46.1731,-98.0799,Oakes,ND
W-180238,Fog,Severe,2017-12-31 05:23:00,2017-12-31 05:33:00,47.0792,-122.5808,Tacoma,WA
W-180239,Fog,Severe,2017-12-31 05:53:00,2017-12-31 06:48:00,47.0792,-122.5808,Tacoma,WA
W-190013,Snow,Light,2017-12-31 05:55:00,2017-12-31 06:35:00,40.7242,-95.0222,Clarinda,IA
W-190014,Snow,Light,2017-12-31 06:55:00,2017-12-31 07:55:00,40.7242,-95.0222,Clarinda,IA
W-190015,Snow,Light,2017-12-31 09:55:00,2017-12-31 10:15:00,40.7242,-95.0222,Clarinda,IA
W-193403,Snow,Light,2017-12-31 12:53:00,2017-12-31 15:53:00,40.2345,-85.3936,Muncie,IN
W-193404,Fog,Moderate,2017-12-31 15:53:00,2017-12-31 16:03:00,40.2345,-85.3936,Muncie,IN
W-193405,Fog,Moderate,2017-12-31 19:31:00,2017-12-31 19:53:00,40.2345,-85.3936,Muncie,IN
W-206273,Snow,Light,2017-12-31 00:45:00,2017-12-31 03:54:00,42.5709,-77.7131,North Dansville,NY
W-206274,Snow,Light,2017-12-31 13:01:00,2017-12-31 13:38:00,42.5709,-77.7131,North Dansville,NY
W-206275,Fog,Moderate,2017-12-31 13:38:00,2017-12-31 13:54:00,42.5709,-77.7131,North Dansville,NY
W-209852,Snow,Light,2017-12-31 03:06:00,2017-12-31 03:52:00,37.2958,-81.2077,Bluefield,WV
W-209853,Snow,Light,2017-12-31 04:52:00,2017-12-31 05:52:00,37.2958,-81.2077,Bluefield,WV
W-209854,Snow,Light,2017-12-31 06:52:00,2017-12-31 08:36:00,37.2958,-81.2077,Bluefield,WV
W-209855,Snow,Light,2017-12-31 08:52:00,2017-12-31 10:52:00,37.2958,-81.2077,Bluefield,WV
W-213505,Rain,Light,2017-12-31 21:35:00,2017-12-31 22:57:00,31.554,-81.8825,Jesup,GA
W-213506,Rain,Light,2017-12-31 23:15:00,2017-12-31 23:35:00,31.554,-81.8825,Jesup,GA
W-216058,Rain,Light,2017-12-31 04:06:00,2017-12-31 04:24:00,31.4671,-89.3371,Moselle,MS
W-216059,Rain,Light,2017-12-31 05:56:00,2017-12-31 07:56:00,31.4671,-89.3371,Moselle,MS
W-216060,Rain,Light,2017-12-31 08:56:00,2017-12-31 16:28:00,31.4671,-89.3371,Moselle,MS
W-216061,Rain,Light,2017-12-31 16:52:00,2017-12-31 17:17:00,31.4671,-89.3371,Moselle,MS
W-222454,Fog,Severe,2017-12-31 16:14:00,2017-12-31 23:36:00,46.0946,-118.2858,Walla Walla,WA
W-225828,Fog,Severe,2017-12-31 16:53:00,2017-12-31 17:53:00,47.166,-88.4807,Calumet,MI
W-225829,Snow,Light,2017-12-31 17:53:00,2018-01-01 07:05:00,47.166,-88.4807,Calumet,MI
W-229040,Snow,Light,2017-12-31 03:40:00,2017-12-31 10:56:00,41.7016,-74.795,Bethel,NY
W-229041,Snow,Light,2017-12-31 17:56:00,2017-12-31 18:56:00,41.7016,-74.795,Bethel,NY
W-241259,Cold,Severe,2017-12-31 22:55:00,2018-01-01 02:15:00,48.8844,-99.6208,Rolla,ND
W-244936,Fog,Severe,2017-12-31 06:38:00,2017-12-31 07:00:00,38.5037,-122.811,Windsor,CA
W-244937,Fog,Severe,2017-12-31 07:48:00,2017-12-31 08:36:00,38.5037,-122.811,Windsor,CA
W-244938,Fog,Severe,2017-12-31 09:58:00,2017-12-31 10:28:00,38.5037,-122.811,Windsor,CA
W-244939,Fog,Severe,2017-12-31 10:38:00,2017-12-31 11:13:00,38.5037,-122.811,Windsor,CA
W-244940,Fog,Severe,2017-12-31 11:20:00,2017-12-31 11:53:00,38.5037,-122.811,Windsor,CA
W-244941,Fog,Severe,2017-12-31 12:07:00,2017-12-31 12:16:00,38.5037,-122.811,Windsor,CA
