EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-4953964,Flow-Incident,3,401,2020-12-31 09:09:42,2020-12-31 15:00:00,41.809471,-78.451591,153.0,N Marvin St,Smethport,PA
T-4953965,Congestion,1,74,2020-12-31 11:08:00,2020-12-31 11:55:05,41.897411,-78.362228,589.0,Route 155,Eldred,PA
T-4953966,Flow-Incident,2,402,2020-12-31 11:40:27,2020-12-31 16:42:40,43.10075,-79.044159,1428.0,Whitney Ave,Niagara Falls,NY
T-4953967,Construction,2,701,2020-12-31 12:00:00,2020-12-31 22:00:00,42.95908,-78.766655,,Main St,Buffalo,NY
T-4953968,Congestion,1,72,2020-12-31 12:01:00,2020-12-31 12:47:05,42.903942,-78.862617,1126.0,Michigan Ave,Buffalo,NY
T-4953969,Construction,3,701,2020-12-31 15:12:28,2020-12-31 16:12:04,43.002716,-78.412003,,I-90 E,Corfu,NY
T-4953970,Accident,2,201,2020-12-31 15:47:49,2020-12-31 17:19:16,43.207451,-78.650032,6999.0,Slayton-Settlement Rd,Lockport,NY
T-4953971,Congestion,1,72,2020-12-31 16:21:00,2020-12-31 17:14:49,42.90131,-78.813873,1716.0,Bailey Ave,Buffalo,NY
T-4953972,Congestion,1,72,2020-12-31 16:01:00,2020-12-31 20:11:10,42.048351,-80.08004,8033.0,Peach St,Erie,PA
T-4953973,Flow-Incident,0,214,2020-12-31 17:10:00,2020-12-31 17:51:00,42.064659,-80.093491,5955.0,Peach St,Erie,PA
T-4953974,Congestion,0,74,2020-12-31 16:21:00,2020-12-31 17:48:09,42.066628,-80.093033,,Peach St,Erie,PA
T-4953975,Congestion,1,72,2020-12-31 16:18:00,2020-12-31 17:45:49,42.933445,-78.877213,,Iroquois,Buffalo,NY
T-4953976,Congestion,0,74,2020-12-31 17:11:00,2020-12-31 19:15:01,42.068459,-80.092697,1896.0,Davis Ave,Erie,PA
T-4953977,Congestion,1,71,2020-12-31 17:14:00,2020-12-31 18:02:00,42.963608,-78.870117,2917.0,Delaware Ave,Buffalo,NY
T-4953978,Congestion,0,72,2020-12-31 17:23:00,2020-12-31 18:28:45,42.947769,-78.878197,,Hertel Ave,Buffalo,NY
T-4953979,Congestion,0,72,2020-12-31 17:33:00,2020-12-31 18:14:09,42.947769,-78.862694,1230.0,Hertel Ave,Buffalo,NY
T-4953980,Congestion,1,72,2020-12-31 17:10:00,2020-12-31 18:17:48,42.87085,-78.875076,92.0,S Michigan Ave,Buffalo,NY
T-4953981,Congestion,0,72,2020-12-31 17:42:00,2020-12-31 18:22:55,42.947762,-78.86113,1272.0,Hertel Ave,Buffalo,NY
T-4953982,Congestion,1,72,2020-12-31 17:11:00,2020-12-31 18:54:03,42.90535,-78.813766,1867.0,Bailey Ave,Buffalo,NY
T-4953983,Congestion,0,72,2020-12-31 17:46:00,2020-12-31 18:27:07,42.9478,-78.869949,1038.0,Hertel Ave,Buffalo,NY
T-4953984,Congestion,1,72,2020-12-31 16:43:00,2020-12-31 18:27:54,42.949516,-78.813698,3449.0,Bailey Ave,Buffalo,NY
T-4953985,Congestion,0,72,2020-12-31 17:49:00,2020-12-31 18:30:18,42.064659,-80.093491,5955.0,Peach St,Erie,PA
T-4953986,Congestion,1,71,2020-12-31 17:45:00,2020-12-31 18:31:46,42.907139,-78.755867,2178.0,Walden Ave,Buffalo,NY
T-4953987,Congestion,0,72,2020-12-31 17:43:00,2020-12-31 18:30:49,42.945759,-78.696953,6670.0,Transit Rd,Buffalo,NY
T-4953988,Congestion,0,72,2020-12-31 17:52:00,2020-12-31 18:43:52,42.981194,-78.696953,7812.0,Transit Rd,Buffalo,NY
T-4953989,Congestion,0,73,2020-12-31 17:57:00,2020-12-31 18:37:58,42.074131,-80.093727,5515.0,Peach St,Erie,PA
T-4953990,Congestion,0,71,2020-12-31 18:02:00,2020-12-31 19:07:04,42.941139,-78.867722,2098.0,Delaware Ave,Buffalo,NY
T-4953991,Congestion,1,71,2020-12-31 18:11:00,2020-12-31 19:02:52,43.253654,-78.981323,1429.0,Lockport Rd,Youngstown,NY
T-4953992,Congestion,0,73,2020-12-31 18:24:00,2020-12-31 19:05:10,42.062809,-80.093849,6037.0,Peach St,Erie,PA
T-4953993,Accident,2,201,2020-12-31 18:24:43,2020-12-31 18:54:32,43.030651,-78.875862,119.0,Schenck St,North Tonawanda,NY
T-4953994,Accident,3,201,2020-12-31 18:29:34,2020-12-31 19:59:19,42.550568,-79.108765,,I-90 W,Silver Creek,NY
T-4953995,Flow-Incident,1,214,2020-12-31 17:11:00,2020-12-31 19:18:54,42.90535,-78.813766,1867.0,Bailey Ave,Buffalo,NY
T-4953996,Congestion,1,71,2020-12-31 18:31:00,2020-12-31 19:31:59,43.246712,-78.94294,2049.0,Youngstown Lockport Rd,Ransomville,NY
T-4953997,Congestion,0,71,2020-12-31 19:00:00,2020-12-31 19:43:55,42.940079,-78.867607,,Delaware Ave,Buffalo,NY
T-4953998,Congestion,0,75,2020-12-31 19:00:00,2020-12-31 19:53:06,42.059444,-80.09272,6432.0,Peach St,Erie,PA
T-4953999,Congestion,0,73,2020-12-31 19:16:00,2020-12-31 19:57:16,42.062809,-80.093849,6037.0,Peach St,Erie,PA
T-4954000,Congestion,0,73,2020-12-31 19:25:00,2020-12-31 20:06:04,42.064617,-80.093498,,Peach St,Erie,PA
T-4954001,Congestion,1,72,2020-12-31 19:17:00,2020-12-31 20:30:47,42.909801,-78.813728,2034.0,Bailey Ave,Buffalo,NY
T-4954002,Congestion,1,71,2020-12-31 18:41:00,2020-12-31 21:09:48,42.93446,-78.877647,,Elmwood Ave,Buffalo,NY
T-4954003,Congestion,0,74,2020-12-31 19:24:00,2020-12-31 20:22:24,42.065765,-80.093231,5917.0,Peach St,Erie,PA
T-4954004,Congestion,1,72,2020-12-31 19:18:00,2020-12-31 20:11:10,42.947506,-78.836731,1912.0,Hertel Ave,Buffalo,NY
T-4954005,Congestion,0,72,2020-12-31 19:21:00,2020-12-31 20:29:52,42.965294,-78.870338,1.0,Wabash Ave,Kenmore,NY
T-4954006,Flow-Incident,1,214,2020-12-31 20:15:00,2020-12-31 22:06:49,42.952255,-78.813751,3519.0,Bailey Ave,Buffalo,NY
T-4954007,Congestion,0,72,2020-12-31 19:35:00,2020-12-31 21:11:10,42.048351,-80.08004,8033.0,Peach St,Erie,PA
T-4954008,Congestion,0,73,2020-12-31 19:39:00,2020-12-31 20:20:09,42.06142,-80.093857,6102.0,Peach St,Erie,PA
T-4954009,Congestion,0,74,2020-12-31 19:41:00,2020-12-31 20:23:10,41.94355,-80.566277,536.0,State St,Conneaut,OH
T-4954010,Congestion,0,71,2020-12-31 19:40:00,2020-12-31 20:21:46,42.896851,-78.874794,460.0,Delaware Ave,Buffalo,NY
T-4954011,Congestion,0,72,2020-12-31 19:45:00,2020-12-31 20:25:45,42.92363,-78.813683,2530.0,Bailey Ave,Buffalo,NY
T-4954012,Congestion,0,73,2020-12-31 20:13:00,2020-12-31 20:54:31,42.060478,-80.093498,6237.0,Peach St,Erie,PA
T-4954013,Congestion,1,72,2020-12-31 19:55:00,2020-12-31 21:07:36,42.946075,-78.831894,2091.0,Hertel Ave,Buffalo,NY
T-4954014,Congestion,0,73,2020-12-31 20:30:00,2020-12-31 21:11:10,42.063599,-80.093697,5966.0,Peach St,Erie,PA
T-4954015,Congestion,0,72,2020-12-31 20:37:00,2020-12-31 21:18:47,42.960911,-78.878708,298.0,Lasalle Ave,Kenmore,NY
T-4954016,Congestion,0,72,2020-12-31 20:24:00,2020-12-31 21:23:42,42.890026,-78.85302,568.0,Broadway St,Buffalo,NY
T-4954017,Congestion,1,72,2020-12-31 20:36:00,2020-12-31 22:57:03,42.921623,-78.813667,2457.0,Bailey Ave,Buffalo,NY
T-4954018,Congestion,1,71,2020-12-31 20:44:00,2020-12-31 21:31:56,42.884567,-78.880196,7.0,S Elmwood Ave,Buffalo,NY
T-4954019,Congestion,0,73,2020-12-31 20:50:00,2020-12-31 21:39:18,42.059444,-80.09272,6432.0,Peach St,Erie,PA
