EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),LocationLat,LocationLng,City,State
W-2428,Snow,Light,2022-12-31 08:13:00,2022-12-31 08:33:00,0.0,38.0972,-106.1689,Saguache,CO
W-2429,Snow,Light,2022-12-31 08:53:00,2022-12-31 11:13:00,0.0,38.0972,-106.1689,Saguache,CO
W-2430,Snow,Light,2022-12-31 11:53:00,2022-12-31 12:33:00,0.0,38.0972,-106.1689,Saguache,CO
W-2431,Snow,Light,2022-12-31 12:53:00,2022-12-31 13:13:00,0.0,38.0972,-106.1689,Saguache,CO
W-2432,Snow,Light,2022-12-31 15:33:00,2022-12-31 16:13:00,0.0,38.0972,-106.1689,Saguache,CO
W-2433,Snow,Light,2022-12-31 16:33:00,2022-12-31 16:53:00,0.0,38.0972,-106.1689,Saguache,CO
W-2434,Snow,Light,2022-12-31 17:13:00,2022-12-31 17:53:00,0.0,38.0972,-106.1689,Saguache,CO
W-12173,Fog,Severe,2022-12-31 02:15:00,2022-12-31 03:15:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-12174,Fog,Severe,2022-12-31 03:35:00,2022-12-31 05:55:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-12175,Fog,Severe,2022-12-31 06:15:00,2022-12-31 07:35:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-12176,Fog,Severe,2022-12-31 07:55:00,2022-12-31 08:15:00,0.0,43.6822,-93.3722,Albert Lea,MN
W-17010,Fog,Severe,2022-12-31 11:25:00,2022-12-31 16:53:00,0.0,30.5378,-91.1468,Baton Rouge,LA
W-27005,Snow,Light,2022-12-31 11:12:00,2022-12-31 12:56:00,0.0,43.745,-111.0912,Driggs,ID
W-27006,Snow,Light,2022-12-31 13:56:00,2022-12-31 15:56:00,0.03,43.745,-111.0912,Driggs,ID
W-32798,Fog,Moderate,2022-12-31 09:53:00,2022-12-31 10:53:00,0.0,42.8808,-85.5228,Grand Rapids,MI
W-40259,Snow,Light,2022-12-31 00:15:00,2022-12-31 06:35:00,0.0,41.8241,-110.557,Kemmerer,WY
W-40260,Snow,Light,2022-12-31 06:55:00,2022-12-31 11:35:00,0.0,41.8241,-110.557,Kemmerer,WY
W-40261,Snow,Light,2022-12-31 12:35:00,2022-12-31 14:55:00,0.0,41.8241,-110.557,Kemmerer,WY
W-40262,Snow,Light,2022-12-31 15:15:00,2022-12-31 16:15:00,0.0,41.8241,-110.557,Kemmerer,WY
W-47202,Rain,Light,2022-12-31 16:54:00,2022-12-31 17:54:00,0.0,42.4269,-73.289,Pittsfield,MA
W-47203,Rain,Light,2022-12-31 19:54:00,2022-12-31 23:05:00,0.18,42.4269,-73.289,Pittsfield,MA
